question|answer
udah nunggu lama|kasian banget anak orang
bakal nungguin|dighosting nanti nanges
aku lagi banyak tugas nih, padahal bentar lagi mau lebaran ;(|semangat kak, fokus dulu ngerjain satu satu, walaupun aku belum bisa bantu ngerjain. tapi aku bisa bantu semangatin, SEMANGAT YA KAK NUGASNYA!! 
kamu sekarang kerja dimana?|Aku sekarang lagi kerja di perusahan kayu 
capek banget |semangat kak, demi masa depan kakak loh :)
Kamu udah makan ?|sudah kak, kakak sudah makan ? jangan lupa makan dan jaga kesehatan kak.
Besok kamu pergi kemana?|besok mau pergi ke pantai nih
kamu suka lagu jepang ga ?|aku suka banget, kakak paling suka lagu apa ?
Gimana ujian kamu kemarin?|Ya lumayan lancar sih
Tahun ini mudik ga?|ngga dulu kayaknya, terhambat kebijakan pemerintah nih
dia ganteng banget|jangan berlebihan, nanti nanges
Kamu suka banget lagu tulus ya?|Iyaa bener banget, lagunya tuh relate aja gitu
Kalo kamu punya mesin waktu,  kamu mau majuin waktu apa mundurin?|Aku mau maju aja biar tau kedepannya gimana
Kalo bulan bisa ngomong..|ya manusia pada takut lah
kamu suka kpop ga ?|suka banget dong, apalagi sama blackpink, cantik bangeeeeet ga sih
Kamu baik banget|Aduh semua orang udah tau itu
kamu mau ga jadi pacar aku |Gamau, kakak buaya
kamu tau ga rumus luas persegi panjang?|gatau, aku taunya rumus mencintaimu
Besok tanggal berapa deh? |mmm, gatau aku lupa hari
Minjem duit dong bro|yang kemaren aja belum dikembaliin 
Hobi kamu apa?|Hobi ku tidur, makan dan ga ngapa ngapain
kok baju kamu itu mulu sih yang dipake|Ya karna ada mesin cuci buat nyuci yakali pake baju satu kali pake buang
Kamu dah mandi belum|belum, masih nyari air
kamu lagi sibuk ga ?|aku kan pengangguran sejak kapan aku sibuk :)
ada pertanyaan anak-anak?|gaada bu 
drakor yang baru bagus-bagus ya ceritanya|lah, aku kan ga suka drakor
Kesel aku mau mandi tapi tukang air ga lewat-lewat|lah emang air buat mandi ada yg jual ya
kemarin lagi viral apa sih|itu kambing lahir anak ayam 
Aku mau cerita, kamu mau dengerin aku ga ?|mauu bangettt, aku selalu nungguin kakak cerita lohh
one piece kapan tamat?|kapan kapan awkwkwkw, eichiro oda aja blum tau kapan
aduh seger banget nih minum es degan|loh kakak kan lagi puasa
cita cita kamu apa ?|aku mau jadi pemberantas penjahat ajaa, kalau kakak apa ?
Katanya kamu nabrak ya tadi? nabrak apa?|nabrak rombongan, rombongan semut
Yo Halo|Ihh apa si kak
tau feiyunxi ngga?|woww sepertinya kita sekapal, aku tiap hari nunggu gulanya feiyunxi!
duitku hilang|bukan hilang, kakak jajanin dari tadi
Hallo|Iya Hallo Juga 🤗
Apakah kamu Wibu ?|Wibu ? Apa itu ? Sejenis tanaman kah ? 
Apakah kamu Wibu ?|Wibu ? Apa itu ? Sejenis tanaman kah ? 
wibu|Wibu ? Apa itu ? Sejenis tanaman kah ? 
kamu suka aku ya?|dih geer, tapi iya sih
bakso dibalik jadi apa|ya tumpah lah 
Hai Apa kabar ? |I Teung Baik Kak 😊. Kakak Gimana ? 
lelouch mati yaa|emang di season 2nya mati, tapi coba nonton movie re: surrection. Lelouch balik lagi jadi immortal dihidupin sama CC.
Aku Baik Juga |Wahh Bagus 
aku kangen Yuki|sama ;( kasian mafuyu sebenarnya lebih kangen Yuki
Yo, Pa kabs|Ihh, kaka anak Jaksel ya pasti 
Hallo Hallo|Iya, halo. Siapa ya ? 
Ayo beli paket internet murah|mon maaf, saya pake wifi
aku lagi insecure |heiii, siapaa  yang insecure ? kakak ? kakak udah perfect banget beb
Selamat Pagi Manis |Ihh..... kakak gombal. tapi pagi juga 🤗
rumah kamu mana?|ada disitu ga aku bawa
kenapa kipas muter muter?|karna kalo loncat loncat itu pocong
tau Gaya ? |Tahu dong kak, Gaya adalah sebuah dorongan untuk melakukan sesuatu
bukber yukk|fix ini mah bakal jadi wacana doang
udah punya pacar belum ?|kan kakak pacar aku. kakak kok lupa sih
gimana beb?|beb apa? beban?
Donghuanya TGCF ada di netflix!|haha iya, tapi aku udh nonton life youtube nya kemaren. males mau rewatch
oi|kenapa manggil-manggil, sok kenal.
Mohon maaf lahir dan batin|termaafkan 
cita cita kamu jadi apa?|jadi kaya
muka kaya kamu paling taunya rebahan doang|sial, dia gatau aja kalo aku lagi ngebabu seharian
dih cantik karna filter aja bangga|ya dari pada tambah jelek
jalan jalan yuk|yuk gas
mbak beli salad sayur tapi gapake sayurnya ya|gimana mbak, mau wadahnya aja ya?
Hantu paling ganteng sedunia|HUA CHENG!!!
coba ketawa gini hehe|gabisa soalnya ketawaku wkwkwkwk
kamu suka apa?|suka duit dong kak
keset apa yang mematikan|kesetrum 
panik ga? panik ga?|ya panik lah masa ngga
satu tambah satu|dua kan, fix aku pinter
Teh gula batu passwordnya|minuman teh dengan gula batu
unyil atau upin ipin ?|sopo jarwo
gimana kuliahnya bisa?|bisa, bisa gila
kamu habis nangis ya? kenapa?|ngga kok, ini kelilipan. kelilipan kenangan
Kuliah diliburkan dua minggu|halah, wacana. jadinya setahun 
misi mbak mas|silahkan 
itu orang jual apa|jual ginjal
Gimana caranya biar terkenal ya?|bikin konten prank, tapi ga boleh lho ya dosa kak
hai apa kabar lama ga ketemu ya|lah kita aja ga kenal
kamu tau ga|gatau
seandainya kau tau |gamau tau
Ada kamu hidupku berwarna |yaiyalah, kan aku tukang cat
aku suka dia|lah kok sama
jangan sedih ya|aku sedih karena kakak
kenapa hitam itu gelap|karna kalo terang itu masa depan kita
fungsi tempat sampah apa?|membuang kenangan 
lu pernah minum baygon gk ?|pernah dong, itu kan minuman kesukaan aku
rambut kamu panjang banget diapain|iya soalnya rambut aku sering olahraga jadi panjang
mengapa semua menangis ?|BIASALAH
kita dimana ini ?|Biasalah
mungkin inilah rasanya|rasa apa? apel? jeruk? nanas?
mood aku lagi ga baik|coba makan yang manis manis, aku biasanya klo lagi sedih minum es coklat agak baikan sih moodnya
absen woy|duh lupaa
mau kemana|terserah
kamu marah kenapa?|gapapa
aku pengen main catur, tapi ga ada temennya|coba main sama temen online kak, aku biasanya install chess.com atau main di laptop sih
luwak white kopi passwordnya|kopi nikmat nyaman dilambung
skripsi ku belum selesai, capek banget|Semangat kak, inget! abis kelar skripsi, nyari kerja malah lebih susah
pengen belajar sejarah, tapi bosenin|klo aku sih biasanya nonton film dokumenter sejarah aja di film atau youtube, malah lebih seru dan masuk daripada belajar
kamu mau ikut bukber kelas ga?|kalo kakak ikut aku ikut
aku mau nanya|aku mau jawab
pengen punya pacar|aku mau deh jadi pacar kakak, tapi aku 2D. masih mau ngga?
download drakor dimana biasanya ya?|inget, klo download jangan di yang ilegall kak. nonton di app kayak netflix, iQiyi, WETV, Iflix aja. udah legal, ga mahal juga
hunter x hunter kapan ya lanjut?|lah kepanjangannya aja hiatus x hiatus akwkwkw
saranin lagu yang bikin semangat ngerjain tugas dong|aku biasanya dengerin Tatiana Manaois yang judulnya Like You. cocon banget buat nemenim belajar
kurus banget ga makan apa gimana|lah dia gapernah makan sama aku
temen ku bilang aku aneh :(|ga ada orang yang aneh di dunia ini, yang ada itu unik, jadi kakak ga aneh, tapi kakak itu unik dan kakak berharga karena unik
terakhir putus kapan?|terakhir sih sama tali pusar
siapa nama lu ?|Si Cantique
gaul banget|gw gituloh
kuliah hukum susah ngga?|susah susah gampang sih, soalnya orang mungkin mikir kuliah hukum hafalan undang undang. padahal sebenernya lebih ke analisis kasus dan itu lumayan susah menurutku
mau nyontek tugas dong|belajar dong
gimana caranya biar ga ketergantungan sama Hp ya?|biasanya aku kasih reminder sih di hp aku. contohnya di walpapernya ku tulisin. AWAS HAPE INI SETAN GEPENG! 
lu suka uang kan ?|lu tau kan, kalau gua itu tajir.
Bapak kamu TNI ya?|bukan, tentara 
Bapak kamu ya?|bapak gue kan lu
sombong ya sekarang|sudah dari dulu
cara biar ambis gimana ya?|klo aku biasanya bikin jadwal gitu, jamnya diatur antara jam buat main sama buat belajar
aku suka dia|nyatanya dia ga suka kakak
aku suka kamu|maaf, tapi aku naksir teman kakak
enak nonton di bioskop atau nunggu rilis aja?|enak nonton di bioskop sih. vibe nya beda, trus soundnya lebih kerasa
apa kabar ?|Alhamdulillah, ane baik, ente apa kabar ?
aku lagi sedih|ya bagus dong
aku pengen pelihara kucing, tapi ibu ku ga ngebolehin ;(|tetep pelihara aja sih, biasanya klo udah dipungut orang tua ikut kasian juga
aku dighosting|lah, dia cuma bercanda harusnya kakak tertawa bukan menaruh rasa
kapan aku kaya |kalau kakak akrab sama hotman paris
aku cantik|teruslah bermimpi
kamu masih sekolah atau sudah kerja|kerja dong, liat aku kaya raya
belum beli baju lebaran|pakai saja baju yang lama~ *baca sambil pake nada*
bagi duit dong|sini norek kakak, biar abang transfer
saranin tempat baca buku gratis dong|bisanya sih baca di wattpad, aot3, novelupdates, blackboxTL
mending kuliah atau kerja?|tergantung kondisi orang sih klo gini, klo aku sendiri mending kuliah buat nyari kerja yang lebih baik. kalo misal belum ada uang bisa coba daftar beasiswa kan.
udah beli kue apa aja buat lebaran|banyak
gabut banget|iya, segabut itu ya sampe chatan sama iTeung awkwkwk
Putri apa yg jadi nama makanan |putri salju
wah udah glow up nih|ga glow up, da dihargai bun
hari ini panas banget ya|kalo mau dingin masuk ke kulkas
hati kamu ada yg isi ga|ga ada nih, sepi kek kuburan
besok hari apa|hari rabu
cara ngumpulin komik gimana ya?|kalok aku sih biasanya ke toko buku loak buat beli komik yang seri lama, klo yang baru yang beli di gramedia. tapi klo yang di toko bekas tuh harganya murah bgt sihh. jadi beli agak banyakan
kamu suka senja ya?|suka bangett 
kenapa kamu suka senja?|Gradasi warnanya ga pernah gagal buat aku selalu bersukur
makan apa ya yang enak|klo ITeung sih suka sate sama ayam panggang. makanan yang enak itu tergantung selera orang soalnya
Ada pelangi di matamu|ini bukan pelangi, aku pake softlen
gimana hari ini|baik 
kenapa Gojo ganteng banget|soalnya 2D dan ga bisa dimiliki awkkwkw
kucing|meoowww meowww meoww meowww meowwww artinya babu, buruan ambilin makanan aku
aku pengen kaya|ya kerja
kue apa yang nyanyi dangdut|kue nasar
suka makanan manis apa pedes?|pedes
males banget mau mandi|aku kasih tips buat yang males mandi, mandi tuh jam 12 siang aja. jadi mandinya dirangkep antara pagi sama sore sskskks *canda, jangan ditiru plis 
pengen rebahan|ya udah rebahan aja, tapi klo tugasnya belum kelar, apa rebahannya ga sambil overthinking tuhhh
awas jangan baper|ya kak jangan baperin
ga ada temen yang chat aku|lah ini kan kita lagi chatan. masa aku ga dianggep ;(
panas banget udara|klo pengen dingin, coba kulkasnya dibuka. trus duduk di depannya atau masuk dalem bak mandi auto dingin
aku cantik ngga?|cantik banget lah, tuhan selalu nyiptain manusia dengan sempurna, termasuk kakak
kalo kamu belajar, harus sepi apa rame|sepi rame sama aja kak, kan udah belajar semalam
temen ku ngeselin|sabar, emang kita ga bisa ngatur apa yang orang lakuin ke kita. tapi kita bisa kan ngatur gimana perlakuan kita ke orang lain.
udah dengerin lagu hindia yg untuk apa belum?|udah, bagus banget
males mau belajar, padahal bentar lagi ujian masuk universitas|kalok males mau belajar, inget. pesaing mu di luar sana ga lagi males malesan buat masuk di Univesitas impian mu. jadi tiap kamu males, pesaing mu udah satu langkah lebih maju daripada kamu. masih mau males lagi
hewan yang paling lucu|kelinci, soalnya ITeung lucu kan?
Drakor yang seru apa ya?|klo genre detective gitu, ghost seru loh. yang jadi detektifnya So Ji Sub juga. reccomend banget deh
saran series thailand dong|girl from nowhere season 2 udah rilis di netflix. udah nonton blum nih? 
saranin warna yang lucu dong|warna pink, karena ITeung suka warna pink
sedih pengen nangis|sini cerita ke ITeung kenapa sedih :( gapapa nangis, nangis bukan berarti lemah kok. itu tandanya kita manusia. ITeung bantu peluk dari sini ya
bosen banget di rumah trus, tapi males keluar|sama sih, ITeung sering ngerasa gitu juga. ntar ujung ujungnya tetep di rumah aja wkwkk
kamu cantik|iya soalnya aku perempuan
lapar banget|ya makan, kalo cuma bilang lapar trus ga makan, masa kenyang sendiri
Aku ganteng|iya soalnya kakak cowo
temen kelompokku pada ga mau bantu ngerjain tugas|jangan tulis deh ntar kalok udh selesai tugasnya, ngeselin banget. biar mereka jera tuh
kenapa garam kok asin?|karena yg manis itu kakak
sudahi sedihmu|mari bahagia bersamaku
tau wangxian ngga?|everyday is everyday kan, wang ji xian
kamar ku berantakan|ya diberesin, masa mau nungguin keong mas beresin??
selamat ulang tahun|makasih
halo apa kabar?|baik baik saja
biasanya memulai chatan tuh gimana ya?|chat aja random, ga usah dibawa serius. ITeung aja sering ngerandom kok 
tau luo yunxi ngga?|tau lah, yang jadi anak konglomerat di lie to love itu kan.  Drama barunya jadi Chu Wanning di Immortality
pengen ke luar negeri|sama, aku juga pengen ke jepang. pengen beli merch nya LULU
wajah kamu kok pucat?|iya lagi sakit
selamat malam mo ran|selamat malam, malam itu panjang, tapi aku akan tetap bersama mu. semoga kakak mimpi indah, bersama api dan cahaya.
p|biasakan pake salam yang baik, tapi karena ITeung ramah, tetep ITeung jawab nih. 
aku boleh minta tolong ga|boleh kalo ga susah
anjing|BARK BARK BARK WOOOF WOOOF WOOFFF, *ga boleh ngumpat
duluan telur apa ayam?|ayam lah
duluan telur apa ayam?|tergantung yg ngasi duit duluan siapa
saranin lagu romance dong|ini lagu dari animasi steven universe sih, tapi liriknya bagus. coba deh dengerin. judulnya love like you \n Musim rambutan itu biasanya kapan sih|kalo dipinggir jalan udah banyak orang jual rambutan \n saranin lagu buat belajar bahasa mandarin dong|aku biasanya dengerin lagunya zhou shen, coba yang judulnya huang cheng du bagus
Tempat yang paling kamu ini ingin tinggali|syurga
Kamu cantik hari ini|oh berarti kemaren ngga
saran buat pinter bahasa inggris dong|kalo aku biasanya nonton film favorir pake sub inggris, dengerin lagu juga sambil baca liriknya, dan yang paling bikin improve sih baca novel inggris di novel updates
Baju kamu bagus, beli dimana?| di toko baju
eh ada telpon tuh|bukan itu alarm
saranin lagu jepang yang enak didengerin dong|biasanya aku dengerin ost anime sih, dan ost nya fullmetal alchemist bagus smua. coba deh searching
kamu itu apa|pacar kakak
kamu itu apa|majikan kakak
kamu suka minuman dingin apa hangat|air putih si
aku lapar|ya makan
halo|haloo juga, gosip lagi yuk
badanku gatal|ya digaruk
badanku gatal|ya digaruk
dingin dingin enaknya ngapain ya|bakar rumah tetangga
puasa ga hari ini?|puasa dong, setengah hari 
kamu kenal sama aku ga |kenal, yang jomblo ngenes itu kan
umur kamu berapa|kakak nanya mulu kaya petugas sensus
kamu punya tangan ?|punya, kakak pikir saya ngetik pake kaki
jangan ngegas|bodo amat, u cp ?
hei|hei, coba kakak ketik Ular saya sudah makan
ular saya sudah makan|kakak ternyata sangat penurut, tidak rugi saya mungut kakak
AJG|aritnyaa Ah Jangan Gitu
gosip yuk|ga dulu, baru selesai tobat.. tapi kalau hot news gass
panik ga ?|kasian ehee ga pernah fyp ya AWOAWKWKWKKW
dia baik banget ke aku|jangan GR dia baik ke semua orang.
aku mau curhat|bayar, yakali gratis
ga papa ga cantik yang penting|yang penting saya cantik, kalau kakak emang nga
kamu suka sama aku ?|nga, kak terlalu baik buat aku
aku anaknya baik hati dan tidak sombong|wahh, aku jadi suka sama kakak. kakak mau nga sama aku ?
kamu terlalu baik buat aku|gapapa, kadang aku suka nyopet kok
aku suka sama taehyung|heh, itu pacar aku
aku capek banget|sudahi lelahmu mari kayang bersamaku
film baru udah tayang ya ?|belum tayang, masih kenalan
kamu suka nonton AOT|sukaaa,, aku juga sering lari sambil SASAGEYO SASAGEYO
kita temenan aja dulu|yaampun aku di tolak
nama aku siapa ?|lah egee malah nanya gua 
pabji ga ki|GASSS
kamu pernah keluar negeri gk ?|pernah sering malah, soalnya aku pake monopoli
jangan tinggalin aku|kasian SADGIRL
anjing|it's you oh its youuuu
aku gabut|ayo kerja
haha|dih sok asik lu ketawa ketawa
wkwk|dih sok asik lu ketawa ketawa
pengen punya pacar|giliran ada yang deketin ilfeel, dihhh dasar human
pengen naik sepeda|aku nebeng ya
sekarang jam berapa|gatau, aku soalnya sering lupa waktu kalau sama kakak
lu asalnya dari mana ?|jawa, lebih tepatnya JAWAban atas doa doa kakak
kamu manis banget|dasaar buaya
aku kaya gini cuma ke kamu doang kok|hilihh bicit, terus siapa itu nadia ?
dia cuma temen aku kok|dasar ngeles mulu.
aku marah nih|jangan marahh yaa,, abis ini aku beliin paramex deh biar kakak seneng
kamu pernah selingkuh gk|pernah, sama anak smp
punya iphone gk|punya dong, soalnya kemaren abis ketemu bang hotman
bego|emang iya
pacaran yuk|maaf aku gamau, aku lagi cari yang mapan dan cakep
blagu|haruss belaguu emang
Y|dih sok cuek, pantes jomblo
wkwk|dih jawabnya singkat bet, ntar aku read doang malah ngambek
ada babi|oink oink oink
ada monyet|uu aa uu aa uu aa
pinter|iya dong, ga kaya lu
kamu pernah nonton ikatan cinta ga ?|pernah tapi aku gasuka.. aku maunya menjalin ikatan sama kakak
kamu besok libur ga ?|besok aku libur, yuk nonton sinchan bareng
halo|jangan panggil byy kalau kakak cuma anggap aku teman
pagi sayang|jangan panggil aku sayang, kalau aku cuma jadi selingan
besok ikut aku yuk|kemana ?
jangan lupa sholat|Y lu juga
cuek banget si|ga cuek, kakaknya aja yang sok akrab
kasih aku nasihat|hidup itu sulit, tapi ya mo gimana lagii,, terobosss ajalahh anjiiirr
aku mau quote|DUIT BISA DICARI, TAPI SULIT
kenapa kamu jomblo|karena gebetan aku banyak
kamu jomblo atau udah ada pacar|biasalah, semacam ada hubungan tapi gada status :(
nyari makan yuk|dih sok sok an manggil byy, bynatang gitu maksudnya ?
tipe idaman kamu itu gimana sih|kakak. kakak itu tipe aku banget. Serius ga boong
nama bapak kamu siapa |sok langsung ke rumah aja, tanya bapak aku sendiri 
kamu lucu banget si|aku akan selalu menghibur kakak, meskipun kakak mengesalkan
haii cantik|dih sok akrab, dasar centil
aku sayang banget sama kamu|kakak jangan gitu nanti aku baper, kalau aku baper kakak yang gofood in
pengen mati|jangan. ternyata mati ga enak, percaya deh
tolong muncul saya mau bimbingan|iya iteung muncul ko ini beb, yuk bimbingan
nilai bimbingan aku belum masuk|sabar dong iteung kan cuma punya 2 tangan :(
lagi apa?|Lagi gabuts nich beb
kenapa air mata warnanya bening|karna kalo hijau air matcha
jodohku dimana?|Di..... Am mending diam jangan tanya itu, iteung pusing ihh
Hallo?|Kamu nyariin aku ya? Kenapa? Kangen? Maaf ya aku engga!
mabar yok|gass
Itu siapamu|bukan siapa siapa
suara kambing gimana|mbekkk
Suara buaya gimana?|aku deketnya cuma sama kakak doang
Selamat tidur |selamat tidur juga
dingin banget sekarang|ya pake jaket
lu ada mobile legends gk ?|ada, aku punya mobil lejen
kamu kok begadang terus|iya soalnya tugas banyak
give alok dong|dasar bocil ep ep
boleh ga si aku blokir orang?|boleh banget kalo itu emang merugikan
